gvkey,Data Date,fyear,Industry Format,Level of Consolidation - Company Annual Descriptor,Population Source,Data Format,tic,ISO Currency Code,act,at,capx,ceq,ebit,lct,lt,ni,re,sale,xrd,xsga,Active/Inactive Status Marker,mkvalt,GIC Sectors,wcap,ROA,ROE,RD_Sales,Debt_Assets,Market_Book,WC_TA,RE_TA,ROA_vol,ROE_vol,cluster,pca_1,pca_2
1078,2012-12-31,2012,INDL,C,D,STD,ABT,USD,31322.583,67234.944,1795.289,26720.961,9783.515,13280.176,40421.712,5962.92,20557.318,39873.91,4610.182,15297.677,A,103271.6885,35,18042.407,0.0886878109097555,0.2231551477508612,0.11561901002434924,0.6012009469361645,3.8648194015177824,0.26834865810254854,0.305753478429312,0.006108241433347962,0.014872678145504687,0,-0.8398400648917383,0.48626882605122806
1078,2013-12-31,2013,INDL,C,D,STD,ABT,USD,19247.0,42953.0,1145.0,25171.0,2674.0,9507.0,17686.0,2576.0,19967.0,21848.0,1452.0,8388.0,A,59338.5963,35,9740.0,0.05997252811212255,0.10233999443804379,0.06645917246429879,0.4117523805089284,2.3574191053196136,0.22675948129350684,0.46485693665168903,0.014552906584926618,0.06295840141451399,0,-0.8648875741070076,0.5364206528206574
1078,2014-12-31,2014,INDL,C,D,STD,ABT,USD,15261.0,41275.0,1077.0,21526.0,2927.0,10532.0,19636.0,2284.0,17821.0,20247.0,1345.0,7613.0,A,67891.7357,35,4729.0,0.05533615990308904,0.1061042460280591,0.06642959450782832,0.4757359176256814,3.153941080553749,0.11457298606904906,0.4317625681405209,0.0180665252201793,0.06869180501116758,0,-0.7881262567695292,0.48938692036258374
1078,2015-12-31,2015,INDL,C,D,STD,ABT,USD,14155.0,41247.0,1110.0,21211.0,3372.0,9186.0,19921.0,4423.0,19099.0,20405.0,1405.0,7839.0,A,66137.3852,35,4969.0,0.10723204111814193,0.20852387911932488,0.06885567262925754,0.48296845831211965,3.1180701145631984,0.12046936746914927,0.46303973622324046,0.02871741622204991,0.06024805418516305,0,-0.8005198792338909,0.5378072648203808
1078,2016-12-31,2016,INDL,C,D,STD,ABT,USD,26776.0,52666.0,1121.0,20538.0,3622.0,6660.0,31949.0,1400.0,18302.0,20853.0,1422.0,7768.0,A,56572.8983,35,20116.0,0.026582614969809744,0.0681663258350375,0.06819162710401382,0.6066342611931796,2.754547584964456,0.3819542019519234,0.34751072798389854,0.04087435783669324,0.07260545180984825,0,-0.8325977825039728,0.47748035659855
1078,2017-12-31,2017,INDL,C,D,STD,ABT,USD,20147.0,76250.0,1135.0,30897.0,3996.0,8912.0,45152.0,477.0,17916.0,27390.0,2235.0,10260.0,A,99507.3661,35,11235.0,0.006255737704918033,0.01543839207690067,0.08159912376779847,0.5921573770491804,3.2206157911771367,0.14734426229508196,0.2349639344262295,0.053406812499899786,0.09980187295233511,0,-0.7080143480273192,0.431830878557453
1602,2012-12-31,2012,INDL,C,D,STD,AMGN,USD,31209.0,54298.0,689.0,19060.0,6124.0,8191.0,35238.0,4345.0,-10277.0,17265.0,3380.0,8100.0,A,65193.06,35,23018.0,0.08002136358613576,0.22796432318992654,0.19577179264407762,0.6489741795277911,3.4204123819517314,0.42391984971822166,-0.18927032303215588,0.016738976490760008,0.019959401544176063,0,-0.8639437783111177,0.5008773811210513
1602,2013-12-31,2013,INDL,C,D,STD,AMGN,USD,27367.0,66125.0,693.0,22096.0,6290.0,7947.0,44029.0,5081.0,-7795.0,18676.0,4083.0,9040.0,A,86084.768,35,19420.0,0.07683931947069943,0.22995112237509052,0.21862283144142214,0.6658449905482041,3.8959435191889935,0.29368620037807186,-0.117882797731569,0.0049161843187636774,0.02046868858385141,0,-0.8059973360369012,0.4800424882527586
1602,2014-12-31,2014,INDL,C,D,STD,AMGN,USD,34713.0,69009.0,718.0,25778.0,6864.0,7008.0,43231.0,5158.0,-4632.0,20063.0,4297.0,8980.0,A,121124.116,35,27705.0,0.07474387398745092,0.20009310264566685,0.2141753476548871,0.6264545204248722,4.698739855690899,0.4014693735599704,-0.06712167978089814,0.0049161843187636774,0.016694578200679315,0,-0.8976702257122182,0.4052216610501707
1602,2015-12-31,2015,INDL,C,D,STD,AMGN,USD,38518.0,71576.0,594.0,28083.0,8603.0,8667.0,43493.0,6939.0,-2566.0,21662.0,4070.0,8884.0,A,122396.82,35,29851.0,0.09694590365485638,0.247088986219421,0.1878866217339119,0.6076478149100257,4.358395470569384,0.41705320219067843,-0.035850005588465406,0.012258301545484795,0.023783120037074307,0,-0.9114741134591986,0.4476145001930749
1602,2016-12-31,2016,INDL,C,D,STD,AMGN,USD,46010.0,77626.0,738.0,29875.0,9895.0,11204.0,47751.0,7722.0,-909.0,22991.0,3840.0,8935.0,A,107932.222,35,34806.0,0.0994769793625847,0.25847698744769876,0.1670218781262233,0.6151418339216242,3.612794041841004,0.44838069718908613,-0.011709994074150413,0.013607981524875249,0.030948822404710957,0,-0.9100037304178815,0.5020593914234953
1602,2017-12-31,2017,INDL,C,D,STD,AMGN,USD,49476.0,79954.0,664.0,25241.0,10497.0,9020.0,54713.0,1979.0,-5751.0,22849.0,3962.0,8429.0,A,125590.58,35,40456.0,0.024751732246041474,0.07840418366942672,0.17339927349118123,0.6843059759361633,4.975657858246504,0.5059909447932561,-0.07192885909397904,0.042430860008316376,0.10083853747772052,0,-0.8894508785660563,0.31461215146925287
2086,2012-12-31,2012,INDL,C,D,STD,BAX,USD,9260.0,20390.0,1161.0,6938.0,3133.0,4759.0,13412.0,2326.0,8078.0,14190.0,1156.0,4213.0,A,36410.6252,35,4501.0,0.1140755272192251,0.33525511674834246,0.08146582100070472,0.6577734183423247,5.2480001729605075,0.2207454634624816,0.396174595389897,0.019754822421749314,0.06944526684992554,0,-0.8152380729511939,0.43732856743290377
2086,2013-12-31,2013,INDL,C,D,STD,BAX,USD,10004.0,25869.0,1525.0,8463.0,3267.0,5906.0,17383.0,2012.0,9876.0,15259.0,1246.0,4533.0,A,37768.2929,35,4098.0,0.07777648923421857,0.23774075386978613,0.0816567271774035,0.6719625806950404,4.4627546850998465,0.15841354516989448,0.3817696857242259,0.021724182249728052,0.057029988732139734,0,-0.7485518020850267,0.45309577071639573
2086,2014-12-31,2014,INDL,C,D,STD,BAX,USD,10351.0,25917.0,1898.0,8120.0,3099.0,6042.0,17761.0,2497.0,9577.0,16671.0,1421.0,5116.0,A,39750.8836,35,4309.0,0.09634602770382375,0.307512315270936,0.08523783816207786,0.6853030829185477,4.895429014778325,0.16626152718293014,0.3695257938804646,0.018151138948092258,0.05024404571983293,0,-0.7618033258698008,0.4533051322212802
2086,2015-12-31,2015,INDL,C,D,STD,BAX,USD,11796.0,20975.0,911.0,8846.0,735.0,5750.0,12110.0,968.0,9907.0,9968.0,603.0,3421.0,A,20893.0383,35,6046.0,0.046150178784266985,0.1094279900520009,0.06049357945425361,0.5773539928486293,2.3618627967442913,0.28824791418355183,0.47232419547079857,0.025379369969871956,0.1004735753290006,0,-0.808649383440982,0.5326954586209743
2086,2016-12-31,2016,INDL,C,D,STD,BAX,USD,6574.0,15546.0,719.0,8290.0,1220.0,2744.0,7266.0,4965.0,9644.0,10163.0,647.0,3080.0,A,23926.0857,35,3830.0,0.25064826841338345,0.5989143546441495,0.06366230443766605,0.46738710922423776,2.8861382026538,0.24636562459796732,0.6203525022513829,0.14543790728259245,0.24622125875248416,0,-0.8403219199598604,0.6863911907230902
2086,2017-12-31,2017,INDL,C,D,STD,BAX,USD,7263.0,17111.0,634.0,9124.0,1532.0,2821.0,7995.0,717.0,10482.0,10561.0,617.0,3041.0,A,35001.0733,35,4442.0,0.04190286949915259,0.0785839544059623,0.05842249786951993,0.46724329378762197,3.836154460762823,0.2595990883057682,0.6125883934311261,0.15898656132491437,0.2919166493677617,0,-0.7879580529580745,0.3815895286017236
